id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
44639845,6158502919,6707479423,556.2559772003158,1,3,0,2,0,"LINESTRING(91.8114738 26.1569336, 91.8113690 26.1565936, 91.8113392 26.1562428, 91.8113937 26.1553041, 91.8114177 26.1546292, 91.8115365 26.1535661, 91.8116297 26.1523135, 91.8116346 26.1519602)"
44639845,6707479423,6722629290,117.54584739492782,1,3,0,2,0,"LINESTRING(91.8116346 26.1519602, 91.8116470 26.1510762, 91.8116524 26.1509044)"
44639845,6722629290,4974707448,157.50018125946573,1,3,0,2,0,"LINESTRING(91.8116524 26.1509044, 91.8116966 26.1494901)"
44639846,566653301,566653288,39.279189528802014,1,4,0,2,0,"LINESTRING(91.8372560 26.1823759, 91.8369154 26.1821996)"
44639859,7106774417,566653348,8.508740502875577,1,4,0,2,0,"LINESTRING(91.8385266 26.1829131, 91.8384550 26.1828717)"
44639859,566653348,7106774416,19.84265642661373,1,4,0,2,0,"LINESTRING(91.8384550 26.1828717, 91.8382746 26.1827971)"
44639859,7106774416,566653301,112.16409437794786,1,4,0,2,0,"LINESTRING(91.8382746 26.1827971, 91.8377209 26.1825944, 91.8372560 26.1823759)"
44641071,566666102,4976870711,82.87947488976697,0,5,5,0,0,"LINESTRING(91.6674846 26.1848324, 91.6667931 26.1844210)"
44641071,4976870711,566666104,8.672965303077957,0,5,5,0,0,"LINESTRING(91.6667931 26.1844210, 91.6667207 26.1843780)"
44641071,566666104,4976870720,61.58220017421169,0,5,5,0,0,"LINESTRING(91.6667207 26.1843780, 91.6662400 26.1841469, 91.6661746 26.1841218)"
44641071,4976870720,4976870707,98.45283104166253,0,5,5,0,0,"LINESTRING(91.6661746 26.1841218, 91.6656392 26.1839159, 91.6652562 26.1838032)"
44641071,4976870707,566666111,152.49472726062822,0,5,5,0,0,"LINESTRING(91.6652562 26.1838032, 91.6645921 26.1836078, 91.6641887 26.1835307, 91.6637767 26.1834845)"
44641071,566666111,566666112,44.7151885405195,0,5,5,0,0,"LINESTRING(91.6637767 26.1834845, 91.6633304 26.1835153)"
44641071,566666112,4976870682,6.8014455671001155,0,5,5,0,0,"LINESTRING(91.6633304 26.1835153, 91.6632641 26.1835292)"
44641071,4976870682,566666113,31.055851841398624,0,5,5,0,0,"LINESTRING(91.6632641 26.1835292, 91.6629613 26.1835924)"
44641071,566666113,566666122,299.8593277937411,0,5,5,0,0,"LINESTRING(91.6629613 26.1835924, 91.6619056 26.1840314, 91.6602147 26.1846784)"
